Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city
20,1971-07-18,53.8,Versailles,Paris,Individual time trial,Eddy Merckx,BEL,1971,Eddy_Merckx,Time trial,1945-06-17,Meensel-Kiezegem
P,1970-06-27,7.4,Limoges,Limoges,Individual time trial,Eddy Merckx,BEL,1970,Eddy_Merckx,Time trial,1945-06-17,Meensel-Kiezegem
1,1970-06-27,224.5,Limoges,La Rochelle,Plain stage,Cyrille Guimard,FRA,1970,Cyrille_Guimard,Flat stage,1947-01-20,Bouguenais
2,1970-06-28,200.0,La Rochelle,Angers,Plain stage,Italo Zilioli,ITA,1970,Italo_Zilioli,Flat stage,1941-09-24,Turin
3a,1970-06-29,10.7,Angers,Angers,Team time trial,Faemino–Faema,,1970,Faemino–Faema,Flat stage,,
3b,1970-06-29,140.0,Angers,Rennes,Plain stage,Marino Basso,ITA,1970,Marino_Basso,Flat stage,1945-06-01,Caldogno
4,1970-06-30,229.0,Rennes,Lisieux,Plain stage,Walter Godefroot,BEL,1970,Walter_Godefroot,Flat stage,1943-07-02,Gand
5a,1970-07-01,94.5,Lisieux,Rouen,Plain stage,Walter Godefroot,BEL,1970,Walter_Godefroot,Flat stage,1943-07-02,Gand
5b,1970-07-01,223.0,Rouen,Amiens,Plain stage,Jozef Spruyt,BEL,1970,Jozef_Spruyt,Flat stage,1943-02-25,Viersel
6,1970-07-02,135.5,Amiens,Valenciennes,Plain stage,Roger De Vlaeminck,BEL,1970,Roger_De_Vlaeminck,Flat stage,1947-08-24,Eeklo
7a,1970-07-03,120.0,Valenciennes,Forest,Plain stage,Eddy Merckx,BEL,1970,Eddy_Merckx,Flat stage,1945-06-17,Meensel-Kiezegem
7b,1970-07-03,7.2,Forest,Forest,Individual time trial,José Antonio Gonzalez Linares,ESP,1970,José_Antonio_Gonzalez_Linares,Time trial,1946-02-25,San Felices de Buelna
8,1970-07-04,232.5,Ciney,Felsberg,Plain stage,Alain Vasseur,FRA,1970,Alain_Vasseur,Flat stage,1948-04-01,Cappelle-la-Grande
9,1970-07-05,269.5,Saarlouis,Mulhouse,Stage with mountain(s),Mogens Frey,DEN,1970,Mogens_Frey,Mountain stage,1941-07-02,Glostrup
10,1970-07-06,241.0,Belfort,Divonne-les-Bains,Stage with mountain(s),Eddy Merckx,BEL,1970,Eddy_Merckx,Mountain stage,1945-06-17,Meensel-Kiezegem
11a,1970-07-07,8.8,Divonne-les-Bains,Divonne-les-Bains,Individual time trial,Eddy Merckx,BEL,1970,Eddy_Merckx,Time trial,1945-06-17,Meensel-Kiezegem
