Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city,dist_from_origin,dist_from_destination
13,1909-07-29,424.0,Brest,Caen,Plain stage,Paul Duboc,FRA,1909,Paul_Duboc,Flat stage,1884-04-02,Rouen,425.2119189123876,109.83056414032802
14,1909-08-01,250.0,Caen,Paris,Plain stage,Jean Alavoine,FRA,1909,Jean_Alavoine,Flat stage,1888-04-01,Roubaix,304.44930620928295,212.91940562986298
1,1908-07-13,272.0,Paris,Roubaix,Plain stage,Georges Passerieu,FRA,1908,Georges_Passerieu,Flat stage,1885-10-11,Londres,342.51305332669915,248.4230538657937
2,1908-07-15,398.0,Roubaix,Metz,Plain stage,Lucien Petit-Breton,FRA,1908,Lucien_Petit-Breton,Flat stage,1882-10-18,Plessé,508.88761324021226,622.7012310122243
5,1908-07-21,311.0,Lyon,Grenoble,Stage with mountain(s),Georges Passerieu,FRA,1908,Georges_Passerieu,Mountain stage,1885-10-11,Londres,736.089216497482,825.6626536633751
6,1908-07-23,345.0,Grenoble,Nice,Stage with mountain(s),Jean-Baptiste Dortignacq,FRA,1908,Jean-Baptiste_Dortignacq,Mountain stage,1884-04-25,Arudy,544.5456480025547,626.7247445871303
7,1908-07-25,354.0,Nice,Nîmes,Plain stage,Lucien Petit-Breton,FRA,1908,Lucien_Petit-Breton,Flat stage,1882-10-18,Plessé,831.0603632689165,637.0275624605301
9,1908-07-29,299.0,Toulouse,Bayonne,Plain stage,Lucien Petit-Breton,FRA,1908,Lucien_Petit-Breton,Flat stage,1882-10-18,Plessé,508.88797193444265,451.0915634595027
10,1908-07-31,269.0,Bayonne,Bordeaux,Plain stage,Georges Paulmier,FRA,1908,Georges_Paulmier,Flat stage,1882-09-24,Frépillon,679.5440593188158,513.6668483879934
11,1908-08-02,391.0,Bordeaux,Nantes,Plain stage,Lucien Petit-Breton,FRA,1908,Lucien_Petit-Breton,Flat stage,1882-10-18,Plessé,316.651402779961,43.81982067078663
13,1908-08-06,415.0,Brest,Caen,Plain stage,Georges Passerieu,FRA,1908,Georges_Passerieu,Flat stage,1885-10-11,Londres,466.7731332294524,259.27610814939896
14,1908-08-09,251.0,Caen,Paris,Plain stage,Lucien Petit-Breton,FRA,1908,Lucien_Petit-Breton,Flat stage,1882-10-18,Plessé,214.40861224195172,345.229736311464
1,1907-07-08,272.0,Paris,Roubaix,Plain stage,Louis Trousselier,FRA,1907,Louis_Trousselier,Flat stage,1881-06-29,2e arrondissement de Paris,659.7390771947219,836.8765118729606
3,1907-07-12,259.0,Metz,Belfort,Stage with mountain(s),Emile Georget,FRA,1907,Emile_Georget,Mountain stage,1881-11-21,Bossay-sur-Claise,464.6034500367892,455.2849897812031
4,1907-07-14,309.0,Belfort,Lyon,Stage with mountain(s),Marcel Cadolle,FRA,1907,Marcel_Cadolle,Mountain stage,1885-12-21,3e arrondissement de Paris,494.9856113439395,275.394797695809
5,1907-07-16,311.0,Lyon,Grenoble,Stage with mountain(s),Emile Georget,FRA,1907,Emile_Georget,Mountain stage,1881-11-21,Bossay-sur-Claise,320.8629888314337,412.0561900070585
6,1907-07-18,345.0,Grenoble,Nice,Stage with mountain(s),Georges Passerieu,FRA,1907,Georges_Passerieu,Mountain stage,1885-10-11,Londres,825.6626536633751,1029.6409379215074
7,1907-07-20,345.0,Nice,Nîmes,Plain stage,Emile Georget,FRA,1907,Emile_Georget,Flat stage,1881-11-21,Bossay-sur-Claise,604.4432155711805,425.9922460716894
8,1907-07-22,303.0,Nîmes,Toulouse,Plain stage,Emile Georget,FRA,1907,Emile_Georget,Flat stage,1881-11-21,Bossay-sur-Claise,425.9922460716894,360.6673853775133
9,1907-07-24,299.0,Toulouse,Bayonne,Plain stage,Lucien Petit-Breton,FRA,1907,Lucien_Petit-Breton,Flat stage,1882-10-18,Plessé,508.88797193444265,451.0915634595027
10,1907-07-26,269.0,Bayonne,Bordeaux,Plain stage,Gustave Garrigou,FRA,1907,Gustave_Garrigou,Flat stage,1884-09-24,Vabre-Tizac,303.7236839289004,225.8653424282537
11,1907-07-28,391.0,Bordeaux,Nantes,Plain stage,Lucien Petit-Breton,FRA,1907,Lucien_Petit-Breton,Flat stage,1882-10-18,Plessé,316.651402779961,43.81982067078663
12,1907-07-30,321.0,Nantes,Brest,Plain stage,Gustave Garrigou,FRA,1907,Gustave_Garrigou,Flat stage,1884-09-24,Vabre-Tizac,436.2252662149896,685.6177191707583
13,1907-08-01,415.0,Brest,Caen,Plain stage,Emile Georget,FRA,1907,Emile_Georget,Flat stage,1881-11-21,Bossay-sur-Claise,444.9050357698249,279.408697580714
14,1907-08-04,251.0,Caen,Paris,Plain stage,Georges Passerieu,FRA,1907,Georges_Passerieu,Flat stage,1885-10-11,Londres,259.27610814939896,342.51305332669915
1,1906-07-04,275.0,Paris,Lille,Plain stage,Emile Georget,FRA,1906,Emile_Georget,Flat stage,1881-11-21,Bossay-sur-Claise,247.07355395281624,450.27353160259037
2,1906-07-06,400.0,Douai,Nancy,Plain stage,René Pottier,FRA,1906,René_Pottier,Flat stage,,,,
3,1906-07-08,416.0,Nancy,Dijon,Stage with mountain(s),René Pottier,FRA,1906,René_Pottier,Mountain stage,,,,
4,1906-07-10,311.0,Dijon,Grenoble,Plain stage,René Pottier,FRA,1906,René_Pottier,Flat stage,,,,
